"id";"nie_malla_modi_id";"ano";"scd";"scod";"scmd";"scmc";"created_at";"updated_at";"lat";"lng"
44837;1760002;2012;8;0;0;0.00;"2013-12-03 16:18:47.509686";"2013-12-03 16:18:47.509686";36.9541667711417;-3.45172825421314
44836;1760002;2011;0;0;0;0.00;"2013-12-03 16:18:47.499733";"2013-12-03 16:18:47.499733";36.9541667711417;-3.45172825421314
44835;1760002;2010;32;133;157;1.00;"2013-12-03 16:18:47.487932";"2013-12-03 16:18:47.487932";36.9541667711417;-3.45172825421314
44834;1760002;2009;32;101;149;3.00;"2013-12-03 16:18:47.477653";"2013-12-03 16:18:47.477653";36.9541667711417;-3.45172825421314
44833;1760002;2008;56;71;165;4.00;"2013-12-03 16:18:47.467675";"2013-12-03 16:18:47.467675";36.9541667711417;-3.45172825421314
44832;1760002;2007;8;181;181;1.00;"2013-12-03 16:18:47.457665";"2013-12-03 16:18:47.457665";36.9541667711417;-3.45172825421314
44831;1760002;2006;16;72;88;2.00;"2013-12-03 16:18:47.447232";"2013-12-03 16:18:47.447232";36.9541667711417;-3.45172825421314
44830;1760002;2005;40;64;157;3.00;"2013-12-03 16:18:47.435894";"2013-12-03 16:18:47.435894";36.9541667711417;-3.45172825421314
44829;1760002;2004;32;133;165;2.00;"2013-12-03 16:18:47.426009";"2013-12-03 16:18:47.426009";36.9541667711417;-3.45172825421314
44828;1760002;2003;16;78;157;2.00;"2013-12-03 16:18:47.416817";"2013-12-03 16:18:47.416817";36.9541667711417;-3.45172825421314
44827;1760002;2002;32;64;157;3.00;"2013-12-03 16:18:47.405959";"2013-12-03 16:18:47.405959";36.9541667711417;-3.45172825421314
44826;1760002;2001;8;171;171;1.00;"2013-12-03 16:18:47.395954";"2013-12-03 16:18:47.395954";36.9541667711417;-3.45172825421314
44141;1747999;2012;24;0;0;0.00;"2013-12-03 16:18:35.447813";"2013-12-03 16:18:35.447813";36.9750001037299;-3.4161643196003
44140;1747999;2011;40;40;133;3.00;"2013-12-03 16:18:35.420402";"2013-12-03 16:18:35.420402";36.9750001037299;-3.4161643196003
44139;1747999;2010;128;40;181;3.00;"2013-12-03 16:18:35.392577";"2013-12-03 16:18:35.392577";36.9750001037299;-3.4161643196003
44138;1747999;2009;120;64;189;3.00;"2013-12-03 16:18:35.370509";"2013-12-03 16:18:35.370509";36.9750001037299;-3.4161643196003
44137;1747999;2008;144;39;173;1.00;"2013-12-03 16:18:35.349263";"2013-12-03 16:18:35.349263";36.9750001037299;-3.4161643196003
44136;1747999;2007;56;96;229;4.00;"2013-12-03 16:18:35.324796";"2013-12-03 16:18:35.324796";36.9750001037299;-3.4161643196003
44135;1747999;2006;56;56;189;6.00;"2013-12-03 16:18:35.300399";"2013-12-03 16:18:35.300399";36.9750001037299;-3.4161643196003
